1000 und 1 Nacht; Liederballon_11
Adam hatte sieben Söhne; Liederballon_11
Amazing grace; Liederballon_11
Amen; Liederballon_11
Auf de schwäbsche Eisebahne; Liederballon_11
Auf einem Baum ein Kuckuck saß; Liederballon_11
Coco Jamboo; Liederballon_11
Dackel; Liederballon_11
Dank für die Sonne; Liederballon_11
Danke, für diesen guten Morgen; Liederballon_11
Das Schlaraffenland; Liederballon_11
Das Wandern ist des Müllers Lust; Liederballon_11
Der Li-La-Launebär; Liederballon_11
Die Lorelei; Liederballon_11
Don't think twice, it's allright; Liederballon_11
Ein neuer Tag beginnt; Liederballon_11
Ein Vogel wollte Hochzeit machen; Liederballon_11
Es geht eine Zipfelmütz'; Liederballon_11
Eve of destruction; Liederballon_11
Give me that old time religion; Liederballon_11
Glory, glory hallelujah; Liederballon_11
Good night, Ladies; Liederballon_11
Hab keine Angst; Liederballon_11
He's got the whole world in his hands; Liederballon_11
Hey God; Liederballon_11
Hey Jude; Liederballon_11
I was born about ten thousand years; Liederballon_11
Ich falte meine Hände; Liederballon_11
Ich find dich scheiße; Liederballon_11
Ich will nicht!; Liederballon_11
Im dunklen Wald von Papagenowo; Liederballon_11
Joshua fit the battle of Jericho; Liederballon_11
Just a closer walk with thee; Liederballon_11
Kilgary Mountain; Liederballon_11
Kinder; Liederballon_11
Kurzebein heißt mein Schwein; Liederballon_11
Lemon-tree; Liederballon_11
Macarena; Liederballon_11
My Lord, what a morning; Liederballon_11
Oh happy day; Liederballon_11
Oh, freedom; Liederballon_11
One of us; Liederballon_11
Sabinchen war ein Frauenzimmer; Liederballon_11
Schwarzbraun ist die Haselnuß; Liederballon_11
Tears in heaven; Liederballon_11
Über den Wolken; Liederballon_11
Unser Zirkus Barelli; Liederballon_11
Viele kleine Leute; Liederballon_11
Wade in the water; Liederballon_11
Was hab'n wir für 'ne Schule; Liederballon_11
Wenn du singst, sing nicht allein; Liederballon_11
Wenn einer sagt, ich mag dich; Liederballon_11
Wir lagen vor Madagaskar; Liederballon_11
Wir sind die Moorsoldaten; Liederballon_11
Wir wollen uns versöhnen; Liederballon_11
Wo ein Mensch Vertrauen gibt; Liederballon_11
Wollt ihr wissen, wie der Bauer; Liederballon_11
Ya, ya, ya; Liederballon_11
Zeigt die Ampel rotes Licht; Liederballon_11
Zu Regensburg auf der Kirchturmspitz; Liederballon_11
1, 2, 3 im Sauseschritt; Liedergarten_12
Ach ich arme Jungfer zart; Liedergarten_12
All I wanna do; Liedergarten_12
Alles neu macht der Mai; Liedergarten_12
Als die Römer frech geworden; Liedergarten_12
Awinu malkenu; Liedergarten_12
Bärentanz; Liedergarten_12
Cáit ní Dhuibhir; Liedergarten_12
Clementine; Liedergarten_12
Cruella de Vil; Liedergarten_12
Dancing with the Rabbi; Liedergarten_12
Der Vierlala; Liedergarten_12
Der mächtige König im Luftrevier; Liedergarten_12
Der Winter ist ein Zauberer; Liedergarten_12
Die bessere Zeit; Liedergarten_12
Die Mittelmäßigkeit; Liedergarten_12
Die Straßenbahn; Liedergarten_12
Die Welt, die ist jetzt ein Gericht; Liedergarten_12
Dove c' é musica; Liedergarten_12
Eia popeia, was raschelt im Stroh?; Liedergarten_12
Ein gutes Gefühl; Liedergarten_12
Ein Jäger aus Kurpfalz; Liedergarten_12
Ein stolzes Schiff; Liedergarten_12
Eine Insel mit zwei Bergen; Liedergarten_12
Ej, Janik, Janik; Liedergarten_12
Es kann ja nicht immer so bleiben; Liedergarten_12
Es liegt ein Schloß in Österreich; Liedergarten_12
Es reit der Herr von Falkenstein; Liedergarten_12
Es steht ein Wirtshaus an der Lahn; Liedergarten_12
Es war'n einmal zwei junge Knaben; Liedergarten_12
Ev'ry time we say Goodbye; Liedergarten_12
Everybody; Liedergarten_12
Freiheit, die ich meine; Liedergarten_12
Freut euch des Lebens; Liedergarten_12
Grün, grün, grün sind alle meine Kleider; Liedergarten_12
Guildo hat euch lieb; Liedergarten_12
Hakuna Matata; Liedergarten_12
Has' und Igel; Liedergarten_12
Hawa neze bamachol; Liedergarten_12
Hine ma tow; Liedergarten_12
In dem Wald, da steht ein Haus; Liedergarten_12
Io mi sono un poveretto; Liedergarten_12
Ja Kujawy; Liedergarten_12
Jeg lagde mig saa silde; Liedergarten_12
Jetzt ist die Zeit und Stunde da; Liedergarten_12
Jetzt ist Sommer; Liedergarten_12
Jetzt steigt Hampelmann; Liedergarten_12
Jetzt tret' ich in sen Stand; Liedergarten_12
Jomi, Jomi, schpil mir a Lidele; Liedergarten_12
Jung Siegfried war ein stolzer Knab'; Liedergarten_12
Karew jom; Liedergarten_12
Komm, du kleiner Racker; Liedergarten_12
König Drosselbart; Liedergarten_12
Lilienthals Traum; Liedergarten_12
Lirum, Larum, Löffelstil; Liedergarten_12
Ma towi ohalecha Jaakow; Liedergarten_12
Marlbruck zog aus zum Kriege; Liedergarten_12
Mein Mädel hat einen Rosenmund; Liedergarten_12
Meine Mühle, die braucht Wind; Liedergarten_12
Morgenrot, leuchtest mir zum frühen Tod?; Liedergarten_12
N'oublier Jamais; Liedergarten_12
Nicht lange ist mehr Winter; Liedergarten_12
Nun ade, du mein lieb' Heimatland; Liedergarten_12
O ze-wie-ze-wo-ze; Liedergarten_12
Oj wi fejn wt es sejn; Liedergarten_12
Papir is doch wajss; Liedergarten_12
Prinz Eugen, der edle Ritter; Liedergarten_12
